ID,SpinCrossoverEnergy,HomoLumoGap,IsSpinCrossover,TransitionMetal
BZCRCO12,2.7348,3.4949,False,Cr
BZCRCO13,2.7348,3.4931,False,Cr
BZCRCO14,2.7352,3.4958,False,Cr
CAFZEO,2.6842,3.3624,False,Cr
CANXAQ,2.4553,3.0683,False,Cr
CATYIF,4.0919,2.9715,False,Cr
CAVFUA,4.1115,1.4373,False,Cr
CEKCUQ,2.7411,2.7461,False,Cr
CICMOQ,3.4053,2.5774,False,Cr
CIDVOA,-1.0521,0.5508,False,Cr
CIDVOA01,-0.8813,0.5725,False,Cr
CIDVOA02,-0.8153,0.5539,False,Cr
CIDVOA03,-1.0537,0.5511,False,Cr
COMMEW,2.2913,2.6392,False,Cr
COPKEY,2.5611,2.8526,False,Cr
CORFAS,-1.2529,1.3432,False,Cr
CPAINC,1.4532,1.5941,False,Cr
CPNCRC01,1.8493,1.7019,False,Cr
CPNOCC10,1.6932,1.7283,False,Cr
CRCACP10,3.9589,0.9658,False,Cr
CRMEBZ01,2.2416,1.9152,False,Cr
CTNSCR10,-0.5328,0.1069,False,Cr
CUGPAV,3.2035,2.0599,False,Cr
CYCPCR01,-0.9655,0.1316,False,Cr
DEGWES,1.5515,2.0504,False,Cr
DMPYCR20,1.8883,1.8730,False,Cr
DULMIG,0.4615,1.7626,True,Cr
DULTUA,2.7443,3.4851,False,Cr
DUNCUK,2.7386,2.3451,False,Cr
EACBCR,2.1386,2.2020,False,Cr
EAMNCR01,4.2803,2.9280,False,Cr
EAMNCR02,4.2893,1.6998,False,Cr
EAMNCR10,4.2800,2.9300,False,Cr
EBEKEB,-1.5877,2.6483,False,Cr
EBOTEU,-1.3395,2.1199,False,Cr
EBUFIQ,5.0034,4.0148,False,Cr
EDIHAA,2.7756,3.4185,False,Cr
EFAKOO,2.5570,3.5116,False,Cr
EGIYUO,2.9280,3.5605,False,Cr
EGIZAV,2.8049,3.5874,False,Cr
EJAMUX,4.4194,2.4637,False,Cr
EJUJUP,2.6683,2.8196,False,Cr
EMACCR,3.9685,3.5387,False,Cr
EVOJAA,-1.1657,2.7279,False,Cr
EXIJUQ,3.6322,2.5050,False,Cr
EXUFOT,2.7606,3.1931,False,Cr
EYORIV,4.1155,2.6919,False,Cr
FABQOP,-0.6852,1.7005,False,Cr
FIBGUS,1.5367,1.2441,False,Cr
FICZOG,3.8309,3.0240,False,Cr
FINTUS,1.1806,2.9025,False,Cr
FINVOO,3.6509,2.9342,False,Cr
FIVZOZ,-1.2196,2.4017,False,Cr
FOCKEN,1.0668,1.8361,False,Cr
FOFWAY,1.2958,1.1857,False,Cr
FOPKAW,2.7442,3.3831,False,Cr
FORJAX,1.9251,1.9376,False,Cr
FUGBEP,2.6577,2.3180,False,Cr
FUVJUD,2.9523,2.5515,False,Cr
FUVKEO,2.7771,2.6909,False,Cr
FUVLEP,3.1957,2.5495,False,Cr
FUVNER,2.7215,2.6690,False,Cr
GABMOL,3.6579,2.8004,False,Cr
GABNUT,0.8685,1.1241,False,Cr
GELZAY,2.6697,3.2636,False,Cr
GIWNIL,4.1995,1.2564,False,Cr
GIWPAF,2.8890,2.9747,False,Cr
GODLIV,2.1874,0.3842,False,Cr
GOPKIF,1.9678,1.9444,False,Cr
GORVUH,2.5418,3.4657,False,Cr
GORVUH01,2.5413,3.4691,False,Cr
GORVUH02,2.5416,3.4594,False,Cr
GOYHIL,2.7143,2.7035,False,Cr
HAGKIK,2.9279,2.8170,False,Cr
HEPRID,4.1232,2.4344,False,Cr
HEXRAD,2.7862,3.1506,False,Cr
HEZJIF,2.7627,3.3658,False,Cr
HEZKEC,2.7812,3.3758,False,Cr
HIKYUW,3.9823,3.0168,False,Cr
HIPLEX,2.3199,2.3951,False,Cr
HISLIF,0.3962,1.4274,True,Cr
HONMUS,2.0056,2.6140,False,Cr
IBEDOI,2.7162,3.4887,False,Cr
IDUMIE,3.7753,2.5844,False,Cr
INUWET,2.8819,2.7200,False,Cr
IPEMIZ,2.0255,2.0746,False,Cr
ISANUM,2.8317,3.5298,False,Cr
JOLNON,2.5810,0.4638,False,Cr
KAMSUM,2.5395,2.2563,False,Cr
KARWEF,4.5313,3.7144,False,Cr
KEYQOV,1.5496,0.8363,False,Cr
KODYUX05,-1.0523,0.5506,False,Cr
KODYUX06,-1.0534,0.5512,False,Cr
KODYUX07,-1.0518,0.5511,False,Cr
KODYUX08,-1.0538,0.5514,False,Cr
KORGED,4.4419,3.8021,False,Cr
KOZROG,2.8449,3.4019,False,Cr
KOZROG01,2.7503,3.4381,False,Cr
KUFDEW,2.6761,3.4373,False,Cr
KUJTOY,3.8611,2.3282,False,Cr
LAWXOW,2.5038,2.9909,False,Cr
LAYSEJ,2.5048,3.1845,False,Cr
LDHPCR10,-0.9832,1.7240,False,Cr
LELBEJ,1.1723,1.9529,False,Cr
LELCEK,0.8579,1.9621,False,Cr
LEYHEE01,2.0448,2.8576,False,Cr
LOBNOF,3.2772,2.1881,False,Cr
LOLRUZ,2.8293,3.6608,False,Cr
LOLSAG,1.8379,3.2672,False,Cr
LORBUQ,0.8381,3.6701,False,Cr
LORCEB,2.8868,2.3768,False,Cr
LOVPIY,-0.9548,2.4585,False,Cr
MADNIQ,2.5761,2.4627,False,Cr
MAKLOA,0.8784,2.4758,False,Cr
MAVJAU,1.7130,2.6216,False,Cr
MBSECR,2.9596,1.0369,False,Cr
MBZCRC,3.1614,1.2120,False,Cr
MEBLAI,2.8125,3.4624,False,Cr
MEBLOW,2.7400,3.4637,False,Cr
MEBMEN,2.5182,3.4542,False,Cr
MERJOJ,3.5561,1.9048,False,Cr
MOCBIN,2.5591,2.2905,False,Cr
MUDMAZ01,-0.8974,0.8782,False,Cr
NEFWIF,2.7552,3.4669,False,Cr
NEVROV,1.5225,2.1211,False,Cr
NITBOJ,1.6750,2.2004,False,Cr
NITCEA,2.9103,3.2832,False,Cr
NITCIE,1.9133,2.7208,False,Cr
NITPOX,2.9013,3.2625,False,Cr
NOCSII,1.4724,1.3674,False,Cr
NODNOL,-1.0567,3.0578,False,Cr
OCISUP,2.5976,2.8454,False,Cr
ODUPAG,2.3929,3.2312,False,Cr
